TL,Word-TL,IR,NL,Source
"F [0,15](UserActivity == Inactive) implies G [0,5](Notifications == False)","Finally [0,15](UserActivity == Inactive) implies Always [0,5](Notifications == False)","{'implies': {'left_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'UserActivity', 'right_node': 'Inactive', 'type': '=='}}, 'bound': [0.0, 15.0]}}, 'right_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'Notifications', 'right_node': 'False', 'type': '=='}}, 'bound': [0.0, 5.0]}}}}","A smartphone's Do Not Disturb feature. If a user is detected as inactive for 15 minutes, the phone should mute notifications for the next 5 minutes.",
"G [0,72]((Inventory < 50 items) implies F [0,24](Restock == True))","Always [0,72]((Inventory < 50 items) implies Finally [0,24](Restock == True))","{'always_bounded': {'child_node': {'implies': {'left_node': {'predicate': {'left_node': 'Inventory', 'right_node': 50.0, 'type': '<'}}, 'right_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'Restock', 'right_node': 'True', 'type': '=='}}, 'bound': [0.0, 24.0]}}}}, 'bound': [0.0, 72.0]}}","A retail store's inventory management system. Over three days (0 to 72 hours), if the inventory drops below 50 items, there should be a restock within the next 24 hours.",
"F [0,3](Temperature < 0) and G [0,3](Heating == True)","Finally [0,3](Temperature < 0) and Always [0,3](Heating == True)","{'and': {'left_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'Temperature', 'right_node': 0.0, 'type': '<'}}, 'bound': [0.0, 3.0]}}, 'right_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'Heating', 'right_node': 'True', 'type': '=='}}, 'bound': [0.0, 3.0]}}}}","A home's smart thermostat system. Within 3 hours, if the temperature drops below 0°C, the heating system should be turned on and remain on.",
"F [0,200](∣xstart​−x∣ <= 0.05)","Finally [0,200](∣xstart​−x∣ <= 0.05)",{'tree': 'not available'},"For a continuous duration of 200 time units, the value of x remains within 0.05 units of its initial value at the start of that duration",
"G [0,10]((Pressure>5) implies F [0,2](ValveOpen == True))","Always [0,10]((Pressure>5) implies Finally [0,2](ValveOpen == True))","{'always_bounded': {'child_node': {'implies': {'left_node': {'predicate': {'left_node': 'Pressure', 'right_node': 5.0, 'type': '>'}}, 'right_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'ValveOpen', 'right_node': 'True', 'type': '=='}}, 'bound': [0.0, 2.0]}}}}, 'bound': [0.0, 10.0]}}","A pressure management system in a factory. If the pressure exceeds 5 units at any time in a 10-hour window, a valve should open within the next 2 hours to release it.",
"G [0,DayDuration]((LightIntensity>70) implies F [0,ResponseTime](Shades==Down))","Always [0,DayDuration]((LightIntensity>70) implies Finally [0,ResponseTime](Shades==Down))","{'implies': {'left_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'Rain', 'right_node': 'True', 'type': '=='}}, 'bound': [0.0, 12.0]}}, 'right_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'Irrigation', 'right_node': 'False', 'type': '=='}}, 'bound': [0.0, 3.0]}}}}","This formula is the same as the first one. Throughout the entire duration of a day, whenever the light intensity exceeds 70%, the shades should be brought down within a specified response time",
"F [0,12](Rain == True) implies G [0,3](Irrigation == False)","Finally [0,12](Rain == True) implies Always [0,3](Irrigation == False)","{'implies': {'left_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'Rain', 'right_node': 'True', 'type': '=='}}, 'bound': [0.0, 12.0]}}, 'right_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'Irrigation', 'right_node': 'False', 'type': '=='}}, 'bound': [0.0, 3.0]}}}}","A garden's smart irrigation system. If it rains at any point in a 12-hour window, the irrigation system should remain off for at least the next 3 hours.",
"G [0,8]((Temperature>25) implies F [0,1](Cooling = True))","Always [0,8]((Temperature>25) implies Finally [0,1](Cooling == True))","{'always_bounded': {'child_node': {'implies': {'left_node': {'predicate': {'left_node': 'Temperature', 'right_node': 25.0, 'type': '>'}}, 'right_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'Cooling', 'right_node': 'True', 'type': '=='}}, 'bound': [0.0, 1.0]}}}}, 'bound': [0.0, 8.0]}}","An office's air conditioning system. If the temperature exceeds 25°C at any time during an 8-hour workday, the cooling system should activate within the next hour.",
"G [0,DayDuration]((LightIntensity>70) implies F [0,ResponseTime](Shades==Down))","Always [0,DayDuration]((LightIntensity>70) implies Finally [0,ResponseTime](Shades==Down))","{'always_bounded': {'child_node': {'implies': {'left_node': {'predicate': {'left_node': 'SoilMoisture', 'right_node': 20.0, 'type': '<'}}, 'right_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'Watering', 'right_node': 'True', 'type': '=='}}, 'bound': [0.0, 6.0]}}}}, 'bound': [0.0, 48.0]}}","A laptop's power management system. If the battery drops below 15% within 6 hours, it should start charging within the next 2 hours.",
"G [0,48]((SoilMoisture<20) implies F [0,6](Watering== True))","Always [0,48]((SoilMoisture<20) implies Finally [0,6](Watering== True))","{'always_bounded': {'child_node': {'implies': {'left_node': {'predicate': {'left_node': 'SoilMoisture', 'right_node': 20.0, 'type': '<'}}, 'right_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'Watering', 'right_node': 'True', 'type': '=='}}, 'bound': [0.0, 6.0]}}}}, 'bound': [0.0, 48.0]}}","Over a 48-hour period, whenever the soil moisture drops below 20%, the watering system should be turned on within the next 6 hours.",
"F [0,3](Stock<10) implies G [0,1](OrderPlaced == True)","Finally [0,3](Stock<10) implies Always [0,1](OrderPlaced == True)","{'implies': {'left_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'Stock', 'right_node': 10.0, 'type': '<'}}, 'bound': [0.0, 3.0]}}, 'right_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'OrderPlaced', 'right_node': 'True', 'type': '=='}}, 'bound': [0.0, 1.0]}}}}","A retail store's inventory system. If stock drops below 10 items within 3 days, an order should be placed within the next day.",
"G [0,7]((TrafficDensity>80) implies (F [0,2](Signal== Green) and G [0,2](Signal== Green)))","Always [0,7]((TrafficDensity>80) implies (Finally [0,2](Signal== Green) and Always [0,2](Signal== Green)))","{'always_bounded': {'child_node': {'implies': {'left_node': {'predicate': {'left_node': 'TrafficDensity', 'right_node': 80.0, 'type': '>'}}, 'right_node': {'and': {'left_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'Signal', 'right_node': 'Green', 'type': '=='}}, 'bound': [0.0, 2.0]}}, 'right_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'Signal', 'right_node': 'Green', 'type': '=='}}, 'bound': [0.0, 2.0]}}}}}}, 'bound': [0.0, 7.0]}}","A city's traffic management system. If traffic density exceeds 80% at any time in a 7-hour window, the traffic signal should turn green within the next 2 hours and stay green for those 2 hours to ease congestion.",
"F [0,5](Noise>80)implies G [5,6](AlarmActivated == True)","Finally [0,5](Noise>80) implies Always [5,6](AlarmActivated == True)","{'implies': {'left_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'Noise', 'right_node': 80.0, 'type': '>'}}, 'bound': [0.0, 5.0]}}, 'right_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'AlarmActivated', 'right_node': 'True', 'type': '=='}}, 'bound': [5.0, 6.0]}}}}","For a security system in a quiet zone. If noise levels exceed 80dB within 5 minutes, an alarm should activate within the next minute.",
"G [0,24]((AirQuality<40) implies (F [0,3](Purifier== True) and  G [0,3](Purifier== True)))","Always [0,24]((AirQuality<40) implies (Finally [0,3](Purifier= True) and Always [0,3](Purifier= True)))","{'always_bounded': {'child_node': {'implies': {'left_node': {'predicate': {'left_node': 'AirQuality', 'right_node': 40.0, 'type': '<'}}, 'right_node': {'and': {'left_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'Purifier', 'right_node': 'True', 'type': '=='}}, 'bound': [0.0, 3.0]}}, 'right_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'Purifier', 'right_node': 'True', 'type': '=='}}, 'bound': [0.0, 3.0]}}}}}}, 'bound': [0.0, 24.0]}}","A home's air purification system. If air quality drops below 40% at any point during a 24-hour day, the air purifier should activate within the next 3 hours and stay on for those 3 hours.",
"G [0,12]((WindSpeed>50km) implies F [0,1](TurbinesOn==False)","Always [0,12]((WindSpeed>50km) implies Finally [0,1](TurbinesOn==False)"," 'right_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'Refill', 'right_node': 'True', 'type': '=='}}, 'bound': [0.0, 3.0]}}}}, 'bound': [0.0, 12.0]}}","A wind farm's safety system. If wind speed goes above 50km/h at any time in a 12-hour period, the turbines should shut down within the next hour.",
"F [0,7] (UserInactive == True) implies G [0,2](ScreenOn == False)","Finally [0,7] (UserInactive == True) implies Always [0,2](ScreenOn == False)","{'implies': {'left_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'UserInactive', 'right_node': 'True', 'type': '=='}}, 'bound': [0.0, 7.0]}}, 'right_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'ScreenOn', 'right_node': 'False', 'type': '=='}}, 'bound': [0.0, 2.0]}}}}","A computer's power-saving feature. If a user is inactive for 7 minutes, the screen should turn off for at least the next 2 minutes.",
"F [0,4](Temperature<5)implies G [0,2](HeaterOn == True)","Finally [0,4](Temperature<5) implies Always [0,2](HeaterOn == True)","{'implies': {'left_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'Temperature', 'right_node': 5.0, 'type': '<'}}, 'bound': [0.0, 4.0]}}, 'right_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'HeaterOn', 'right_node': 'True', 'type': '=='}}, 'bound': [0.0, 2.0]}}}}","A car's automated heating system. If the temperature drops below 5°C within 4 hours, the heater should turn on and remain on for at least the next 2 hours.",
"G(∣x∣>1.0 implies F [0,1](G [0,2]∣x∣<0.8) and  F [0,2.5](G [0,3]∣x∣>0.9))","Always(∣x∣>1.0 implies Finally [0,1](Always [0,2]∣x∣<0.8) and Finally [0,2.5](Always [0,3]∣x∣>0.9))","{'always': {'child_node': {'implies': {'left_node': {'predicate': {'left_node': 'x', 'right_node': 1.0, 'type': '>'}}, 'right_node': {'and': {'left_node': {'eventually_bounded': {'child_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'x', 'right_node': 0.8, 'type': '<'}}, 'bound': [0.0, 2.0]}}, 'bound': [0.0, 1.0]}}, 'right_node': {'eventually_bounded': {'child_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'x', 'right_node': 0.9, 'type': '>'}}, 'bound': [0.0, 3.0]}}, 'bound': [0.0, 2.5]}}}}}}}}","This formula states that whenever the absolute value of x exceeds 1.0, within the next 1 time unit, x should settle under 0.8 for a 2-long time interval and then exceed 0.9 for a 3-long time interval within the next 2.5 time units.",
"G(∣y∣<0.2 implies F [0,0.5](G [0,1]∣y∣>0.4) and  F [0,1.5](G [0,2.5]∣y∣<0.1))","Always(∣y∣<0.2 implies Finally [0,0.5](Always [0,1]∣y∣>0.4) and Finally [0,1.5](Always [0,2.5]∣y∣<0.1))","{'always': {'child_node': {'implies': {'left_node': {'predicate': {'left_node': 'y', 'right_node': 0.2, 'type': '<'}}, 'right_node': {'and': {'left_node': {'eventually_bounded': {'child_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'y', 'right_node': 0.4, 'type': '>'}}, 'bound': [0.0, 1.0]}}, 'bound': [0.0, 0.5]}}, 'right_node': {'eventually_bounded': {'child_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'y', 'right_node': 0.1, 'type': '<'}}, 'bound': [0.0, 2.5]}}, 'bound': [0.0, 1.5]}}}}}}}}","This formula suggests that whenever the absolute value of y is less than 0.2, within the next 0.5 time units, y should exceed 0.4 for a 1-long time interval and then drop below 0.1 for a 2.5-long time interval within the next 1.5 time units.",
"G(∣z∣>0.7 implies F [0,0.8](G [0,1.2]∣z∣<0.5) and  F [0,1](G [0,2]∣z∣>0.6))","Always(∣z∣>0.7 implies Finally [0,0.8](Always [0,1.2]∣z∣<0.5) and Finally [0,1](Always [0,2]∣z∣>0.6))","{'always': {'child_node': {'implies': {'left_node': {'predicate': {'left_node': 'z', 'right_node': 0.7, 'type': '>'}}, 'right_node': {'and': {'left_node': {'eventually_bounded': {'child_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'z', 'right_node': 0.5, 'type': '<'}}, 'bound': [0.0, 1.2]}}, 'bound': [0.0, 0.8]}}, 'right_node': {'eventually_bounded': {'child_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'z', 'right_node': 0.6, 'type': '>'}}, 'bound': [0.0, 2.0]}}, 'bound': [0.0, 1.0]}}}}}}}}","This formula indicates that if the absolute value of z goes beyond 0.7, then within the next 0.8 time units, z should settle under 0.5 for a 1.2-long time interval and then exceed 0.6 for a 2-long time interval within the subsequent time unit.",
"G(∣w∣<0.3 implies F [0,0.4](G [0,1.4]∣w∣>0.5) and  F [0,0.6](G [0,1.6]∣w∣<0.2))","Always(∣w∣<0.3 implies Finally [0,0.4](Always [0,1.4]∣w∣>0.5) and Finally [0,0.6](Always [0,1.6]∣w∣<0.2))","{'always': {'child_node': {'implies': {'left_node': {'predicate': {'left_node': 'w', 'right_node': 0.3, 'type': '<'}}, 'right_node': {'and': {'left_node': {'eventually_bounded': {'child_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'w', 'right_node': 0.5, 'type': '>'}}, 'bound': [0.0, 1.4]}}, 'bound': [0.0, 0.4]}}, 'right_node': {'eventually_bounded': {'child_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'w', 'right_node': 0.2, 'type': '<'}}, 'bound': [0.0, 1.6]}}, 'bound': [0.0, 0.6]}}}}}}}}","This formula states that whenever the absolute value of w is less than 0.3, within the next 0.4 time units, w should exceed 0.5 for a 1.4-long time interval and then drop below 0.2 for a 1.6-long time interval within the next 0.6 time units.",
"G(∣x∣>1.0implies(F [0,1](G [0,2]∣x∣<0.8) or F [0,2.5](G [0,3]∣x∣>0.9)))","Always(∣x∣>1.0implies(Finally [0,1](Always [0,2]∣x∣<0.8) or Finally [0,2.5](Always [0,3]∣x∣>0.9)))","{'always': {'child_node': {'implies': {'left_node': {'predicate': {'left_node': 'x', 'right_node': 1.0, 'type': '>'}}, 'right_node': {'or': {'left_node': {'eventually_bounded': {'child_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'x', 'right_node': 0.8, 'type': '<'}}, 'bound': [0.0, 2.0]}}, 'bound': [0.0, 1.0]}}, 'right_node': {'eventually_bounded': {'child_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'x', 'right_node': 0.9, 'type': '>'}}, 'bound': [0.0, 3.0]}}, 'bound': [0.0, 2.5]}}}}}}}}","This formula states that whenever the absolute value of x exceeds 1.0, one of two conditions must hold: within the next 1 time unit, x should settle under 0.8 for a 2-long time interval, or within the next 2.5 time units, x should exceed 0.9 for a 3-long time interval.",
"G(∣y∣<0.2 and  ∣y∣>0.1 implies F [0,0.5](G [0,1]∣y∣>0.4))","Always(∣y∣<0.2 and ∣y∣>0.1 implies Finally [0,0.5](Always [0,1]∣y∣>0.4))","{'always': {'child_node': {'implies': {'left_node': {'and': {'left_node': {'predicate': {'left_node': 'y', 'right_node': 0.2, 'type': '<'}}, 'right_node': {'predicate': {'left_node': 'y', 'right_node': 0.1, 'type': '>'}}}}, 'right_node': {'eventually_bounded': {'child_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'y', 'right_node': 0.4, 'type': '>'}}, 'bound': [0.0, 1.0]}}, 'bound': [0.0, 0.5]}}}}}}","This formula suggests that if the absolute value of y is between 0.1 and 0.2, then within the next 0.5 time units, y should exceed 0.4 for a 1-long time interval.",
"G(∣z∣>0.7) implies (F [0,0.8](G [0,1.2]∣z∣<0.5) and  G [0,3](∣z∣>0.6))","Always(∣z∣>0.7) implies (Finally [0,0.8](Always [0,1.2]∣z∣<0.5) and Always [0,3](∣z∣>0.6))","{'implies': {'left_node': {'always': {'child_node': {'predicate': {'left_node': 'z', 'right_node': 0.7, 'type': '>'}}}}, 'right_node': {'and': {'left_node': {'eventually_bounded': {'child_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'z', 'right_node': 0.5, 'type': '<'}}, 'bound': [0.0, 1.2]}}, 'bound': [0.0, 0.8]}}, 'right_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'z', 'right_node': 0.6, 'type': '>'}}, 'bound': [0.0, 3.0]}}}}}}","This formula indicates that if the absolute value of z consistently goes beyond 0.7, then two conditions must hold: within the next 0.8 time units, z should settle under 0.5 for a 1.2-long time interval, and for the next 3 time units, z should consistently remain above 0.6.",
"F [0,2](∣w∣<0.3) implies (G [0,1.4]∣w∣>0.5)","Finally [0,2](∣w∣<0.3) implies (Always [0,1.4]∣w∣>0.5)","{'implies': {'left_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'w', 'right_node': 0.3, 'type': '<'}}, 'bound': [0.0, 2.0]}}, 'right_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'w', 'right_node': 0.5, 'type': '>'}}, 'bound': [0.0, 1.4]}}}}","This formula states that if at any point within the first 2 time units the absolute value of w drops below 0.3, then for the next 1.4 time units, w should consistently remain above 0.5.",
"G(∣v∣>0.6 and  ∣v∣<0.8) implies F [0,1](G [0,2]∣v∣<0.4)","Always(∣v∣>0.6 and ∣v∣<0.8) implies Finally [0,1](Always [0,2]∣v∣<0.4)","{'implies': {'left_node': {'always': {'child_node': {'and': {'left_node': {'predicate': {'left_node': 'v', 'right_node': 0.6, 'type': '>'}}, 'right_node': {'predicate': {'left_node': 'v', 'right_node': 0.8, 'type': '<'}}}}}}, 'right_node': {'eventually_bounded': {'child_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'v', 'right_node': 0.4, 'type': '<'}}, 'bound': [0.0, 2.0]}}, 'bound': [0.0, 1.0]}}}}","This formula suggests that whenever the absolute value of v is between 0.6 and 0.8, within the next 1 time unit, v should settle under 0.4 for a 2-long time interval.",
"G [0,10](∣PitchAngle∣<25)","Always [0,10](∣PitchAngle∣<25)","{'always_bounded': {'child_node': {'predicate': {'left_node': 'PitchAngle', 'right_node': 25.0, 'type': '<'}}, 'bound': [0.0, 10.0]}}","Throughout the time duration 10s, the absolute pitch angle of the airplane should always be less than 25 degrees to ensure it doesn't climb or descend too steeply.",
"G [0,20] mu < 120","Always [0,20] mu < 120","{'always_bounded': {'child_node': {'predicate': {'left_node': 'mu', 'right_node': 120.0, 'type': '<'}}, 'bound': [0.0, 20.0]}}","Always, in the time interval [0,20], the value of 'v' is less than 120.",AT1
"G [0,10] omega < 4750","Always [0,10] omega < 4750","{'always_bounded': {'child_node': {'predicate': {'left_node': 'omega', 'right_node': 4750.0, 'type': '<'}}, 'bound': [0.0, 10.0]}}","Always, in the time interval [0,10], the value of 'omega' is less than 4750.",AT2
(gear <= 1.5 and gear >= 0.5),(gear <= 1.5 and gear >= 0.5),"{'and': {'left_node': {'predicate': {'left_node': 'gear', 'right_node': 1.5, 'type': '<='}}, 'right_node': {'predicate': {'left_node': 'gear', 'right_node': 0.5, 'type': '>='}}}}",The gear value is between 0.5 and 1.5 (inclusive).,gear_1_phi
"G [0, 30] (((not (gear <= 1.5 and gear >= 0.5)) and (F [0.001,0.1] (gear <= 1.5 and gear >= 0.5))) implies (F [0.001, 0.1] (G [0,2.5] (gear <= 1.5 and gear >= 0.5))))","Always [0, 30] (((not (gear <= 1.5 and gear >= 0.5)) and (Finally [0.001,0.1] (gear <= 1.5 and gear >= 0.5))) implies (Finally [0.001, 0.1] (Always [0,2.5] (gear <= 1.5 and gear >= 0.5))))","{'always_bounded': {'child_node': {'implies': {'left_node': {'and': {'left_node': {'not': {'child_node': {'and': {'left_node': {'predicate': {'left_node': 'gear', 'right_node': 1.5, 'type': '<='}}, 'right_node': {'predicate': {'left_node': 'gear', 'right_node': 0.5, 'type': '>='}}}}}}, 'right_node': {'eventually_bounded': {'child_node': {'and': {'left_node': {'predicate': {'left_node': 'gear', 'right_node': 1.5, 'type': '<='}}, 'right_node': {'predicate': {'left_node': 'gear', 'right_node': 0.5, 'type': '>='}}}}, 'bound': [0.001, 0.1]}}}}, 'right_node': {'eventually_bounded': {'child_node': {'always_bounded': {'child_node': {'and': {'left_node': {'predicate': {'left_node': 'gear', 'right_node': 1.5, 'type': '<='}}, 'right_node': {'predicate': {'left_node': 'gear', 'right_node': 0.5, 'type': '>='}}}}, 'bound': [0.0, 2.5]}}, 'bound': [0.001, 0.1]}}}}, 'bound': [0.0, 30.0]}}","Always, in the time interval [0,30], if the gear is not between 0.5 and 1.5 and will be in that range in the next [0.001,0.1] time units, then it will remain in that range for the following [0,2.5] time units.",AT51_phi
(gear <= 2.5 and gear >= 1.5),(gear <= 2.5 and gear >= 1.5),"{'and': {'left_node': {'predicate': {'left_node': 'gear', 'right_node': 2.5, 'type': '<='}}, 'right_node': {'predicate': {'left_node': 'gear', 'right_node': 1.5, 'type': '>='}}}}",The gear value is between 1.5 and 2.5 (inclusive).,gear_2_phi
"G [0, 30] (((not (gear <= 2.5 and gear >= 1.5)) and (F [0.001,0.1] (gear <= 2.5 and gear >= 1.5))) implies (F [0.001, 0.1] (G [0,2.5] (gear <= 2.5 and gear >= 1.5))))","Always [0, 30] (((not (gear <= 2.5 and gear >= 1.5)) and (Finally [0.001,0.1] (gear <= 2.5 and gear >= 1.5))) implies (Finally [0.001, 0.1] (Always [0,2.5] (gear <= 2.5 and gear >= 1.5))))","{'always_bounded': {'child_node': {'implies': {'left_node': {'and': {'left_node': {'not': {'child_node': {'and': {'left_node': {'predicate': {'left_node': 'gear', 'right_node': 2.5, 'type': '<='}}, 'right_node': {'predicate': {'left_node': 'gear', 'right_node': 1.5, 'type': '>='}}}}}}, 'right_node': {'eventually_bounded': {'child_node': {'and': {'left_node': {'predicate': {'left_node': 'gear', 'right_node': 2.5, 'type': '<='}}, 'right_node': {'predicate': {'left_node': 'gear', 'right_node': 1.5, 'type': '>='}}}}, 'bound': [0.001, 0.1]}}}}, 'right_node': {'eventually_bounded': {'child_node': {'always_bounded': {'child_node': {'and': {'left_node': {'predicate': {'left_node': 'gear', 'right_node': 2.5, 'type': '<='}}, 'right_node': {'predicate': {'left_node': 'gear', 'right_node': 1.5, 'type': '>='}}}}, 'bound': [0.0, 2.5]}}, 'bound': [0.001, 0.1]}}}}, 'bound': [0.0, 30.0]}}","Always, in the time interval [0,30], if the gear is not between 1.5 and 2.5 and will be in that range in the next [0.001,0.1] time units, then it will remain in that range for the following [0,2.5] time units.",AT52_phi
(gear <= 3.5 and gear >= 2.5),(gear <= 3.5 and gear >= 2.5),"{'and': {'left_node': {'predicate': {'left_node': 'gear', 'right_node': 3.5, 'type': '<='}}, 'right_node': {'predicate': {'left_node': 'gear', 'right_node': 2.5, 'type': '>='}}}}",The gear value is between 2.5 and 3.5 (inclusive).,gear_3_phi
"G [0, 30] (((not (gear <= 3.5 and gear >= 2.5)) and (F [0.001,0.1] (gear <= 3.5 and gear >= 2.5))) implies (F [0.001, 0.1] (G [0,2.5] (gear <= 3.5 and gear >= 2.5))))","Always [0, 30] (((not (gear <= 3.5 and gear >= 2.5)) and (Finally [0.001,0.1] (gear <= 3.5 and gear >= 2.5))) implies (Finally [0.001, 0.1] (Always [0,2.5] (gear <= 3.5 and gear >= 2.5))))","{'always_bounded': {'child_node': {'implies': {'left_node': {'and': {'left_node': {'not': {'child_node': {'and': {'left_node': {'predicate': {'left_node': 'gear', 'right_node': 3.5, 'type': '<='}}, 'right_node': {'predicate': {'left_node': 'gear', 'right_node': 2.5, 'type': '>='}}}}}}, 'right_node': {'eventually_bounded': {'child_node': {'and': {'left_node': {'predicate': {'left_node': 'gear', 'right_node': 3.5, 'type': '<='}}, 'right_node': {'predicate': {'left_node': 'gear', 'right_node': 2.5, 'type': '>='}}}}, 'bound': [0.001, 0.1]}}}}, 'right_node': {'eventually_bounded': {'child_node': {'always_bounded': {'child_node': {'and': {'left_node': {'predicate': {'left_node': 'gear', 'right_node': 3.5, 'type': '<='}}, 'right_node': {'predicate': {'left_node': 'gear', 'right_node': 2.5, 'type': '>='}}}}, 'bound': [0.0, 2.5]}}, 'bound': [0.001, 0.1]}}}}, 'bound': [0.0, 30.0]}}","Always, in the time interval [0,30], if the gear is not between 2.5 and 3.5 and will be in that range in the next [0.001,0.1] time units, then it will remain in that range for the following [0,2.5] time units.",AT53_phi
(gear <= 4.5 and gear >= 3.5),(gear <= 4.5 and gear >= 3.5),"{'and': {'left_node': {'predicate': {'left_node': 'gear', 'right_node': 4.5, 'type': '<='}}, 'right_node': {'predicate': {'left_node': 'gear', 'right_node': 3.5, 'type': '>='}}}}",The gear value is between 3.5 and 4.5 (inclusive).,gear_4_phi
"G [0, 30] (((not (gear <= 4.5 and gear >= 3.5)) and (F [0.001,0.1] (gear <= 4.5 and gear >= 3.5))) implies (F [0.001, 0.1] (G [0,2.5] (gear <= 4.5 and gear >= 3.5))))","Always [0, 30] (((not (gear <= 4.5 and gear >= 3.5)) and (Finally [0.001,0.1] (gear <= 4.5 and gear >= 3.5))) implies (Finally [0.001, 0.1] (Always [0,2.5] (gear <= 4.5 and gear >= 3.5))))","{'always_bounded': {'child_node': {'implies': {'left_node': {'and': {'left_node': {'not': {'child_node': {'and': {'left_node': {'predicate': {'left_node': 'gear', 'right_node': 4.5, 'type': '<='}}, 'right_node': {'predicate': {'left_node': 'gear', 'right_node': 3.5, 'type': '>='}}}}}}, 'right_node': {'eventually_bounded': {'child_node': {'and': {'left_node': {'predicate': {'left_node': 'gear', 'right_node': 4.5, 'type': '<='}}, 'right_node': {'predicate': {'left_node': 'gear', 'right_node': 3.5, 'type': '>='}}}}, 'bound': [0.001, 0.1]}}}}, 'right_node': {'eventually_bounded': {'child_node': {'always_bounded': {'child_node': {'and': {'left_node': {'predicate': {'left_node': 'gear', 'right_node': 4.5, 'type': '<='}}, 'right_node': {'predicate': {'left_node': 'gear', 'right_node': 3.5, 'type': '>='}}}}, 'bound': [0.0, 2.5]}}, 'bound': [0.001, 0.1]}}}}, 'bound': [0.0, 30.0]}}","Always, in the time interval [0,30], if the gear is not between 3.5 and 4.5 and will be in that range in the next [0.001,0.1] time units, then it will remain in that range for the following [0,2.5] time units.",AT54_phi
"((G [0, 30] (rpm <= 3000)) implies (G [0,4] (speed <= 35)))","((Always [0, 30] (rpm <= 3000)) implies (Always [0,4] (speed <= 35)))","{'implies': {'left_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'rpm', 'right_node': 3000.0, 'type': '<='}}, 'bound': [0.0, 30.0]}}, 'right_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'speed', 'right_node': 35.0, 'type': '<='}}, 'bound': [0.0, 4.0]}}}}","Always, in the time interval [0,30], if the rpm is less than or equal to 3000, then the speed will always be less than or equal to 35 in the time interval [0,4].",AT6a_phi
"((G [0, 30] (rpm <= 3000)) implies (G [0,8] (speed <= 50)))","((Always [0, 30] (rpm <= 3000)) implies (Always [0,8] (speed <= 50)))","{'implies': {'left_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'rpm', 'right_node': 3000.0, 'type': '<='}}, 'bound': [0.0, 30.0]}}, 'right_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'speed', 'right_node': 50.0, 'type': '<='}}, 'bound': [0.0, 8.0]}}}}","Always, in the time interval [0,30], if the rpm is less than or equal to 3000, then the speed will always be less than or equal to 50 in the time interval [0,8].",AT6b_phi
